order_id,status,total_amount,currency,payment_method,shipping_method,notes
1,Delivered,521.95,GBP,klarna,fedex,
2,Shipped,786.99,USD,google_pay,pickup_point,
3,Returned,844.95,GBP,debit_card,economy,
4,Returned,422.99,GBP,credit_card,ups,
5,Cancelled,1357.95,EUR,debit_card,standard,
6,Refunded,1297.95,GBP,credit_card,economy,
7,Cancelled,69.99,USD,google_pay,ups,
8,Pending,435.95,USD,credit_card,standard,
9,Refunded,826.95,GBP,google_pay,standard,
10,Refunded,790.95,EUR,credit_card,express,
11,Cancelled,223.95,USD,bank_transfer,economy,
12,Delivered,425.99,USD,debit_card,overnight,
13,Refunded,1170.95,USD,bank_transfer,fedex,
14,Delivered,769.99,GBP,paypal,pickup_point,
15,Refunded,668.99,GBP,google_pay,ups,
16,Cancelled,179.99,USD,paypal,pickup_point,
17,Cancelled,1130.99,EUR,bank_transfer,ups,
18,Cancelled,1480.99,GBP,google_pay,fedex,
19,Shipped,1049.95,GBP,apple_pay,fedex,
20,Cancelled,1353.99,USD,google_pay,economy,
21,Cancelled,1466.99,USD,bank_transfer,economy,
22,Delivered,1151.99,USD,debit_card,ups,
23,Returned,1077.95,USD,klarna,economy,
24,Shipped,49.95,USD,google_pay,express,
25,Shipped,15.95,GBP,bank_transfer,economy,
26,Returned,639.99,EUR,google_pay,express,
27,Pending,1486.95,USD,paypal,express,
28,Processing,378.95,EUR,credit_card,standard,
29,Shipped,1010.99,EUR,paypal,overnight,
30,Pending,353.99,USD,bank_transfer,express,
31,Returned,146.95,EUR,bank_transfer,ups,
32,Shipped,637.99,EUR,google_pay,overnight,
33,Refunded,996.95,USD,apple_pay,overnight,
34,Delivered,729.99,USD,credit_card,dhl,
35,Returned,606.95,EUR,klarna,dhl,
36,Processing,1167.99,USD,credit_card,standard,
37,Shipped,1474.95,EUR,paypal,dhl,
38,Pending,423.95,GBP,paypal,overnight,
39,Delivered,838.95,USD,bank_transfer,pickup_point,
40,Pending,78.99,GBP,apple_pay,economy,
41,Refunded,717.99,GBP,debit_card,fedex,
42,Processing,156.95,GBP,apple_pay,dhl,
43,Delivered,76.99,USD,credit_card,express,
44,Processing,486.99,EUR,bank_transfer,pickup_point,
45,Pending,859.99,GBP,debit_card,economy,
46,Shipped,264.95,EUR,klarna,express,
47,Cancelled,112.95,USD,bank_transfer,ups,
48,Delivered,1294.95,EUR,apple_pay,economy,
49,Cancelled,1310.95,EUR,credit_card,ups,
50,Shipped,404.95,USD,klarna,ups,
51,Processing,492.95,USD,debit_card,ups,
52,Refunded,141.99,USD,apple_pay,express,
53,Processing,1247.95,EUR,debit_card,dhl,
54,Pending,700.95,GBP,klarna,fedex,
55,Returned,444.95,GBP,debit_card,ups,
56,Shipped,320.95,GBP,paypal,overnight,
57,Pending,1496.95,GBP,google_pay,overnight,
58,Delivered,1049.95,USD,google_pay,express,
59,Processing,593.99,USD,google_pay,economy,
60,Returned,455.95,USD,bank_transfer,express,
61,Delivered,358.95,EUR,debit_card,dhl,Signature required
62,Processing,1320.95,EUR,debit_card,dhl,
63,Cancelled,185.99,EUR,credit_card,pickup_point,
64,Delivered,1146.95,USD,credit_card,express,
65,Refunded,1465.99,EUR,paypal,overnight,
66,Refunded,968.95,USD,google_pay,ups,
67,Refunded,999.99,EUR,paypal,express,
68,Delivered,1001.95,GBP,klarna,fedex,
69,Pending,11.95,EUR,apple_pay,fedex,
70,Delivered,1123.95,GBP,google_pay,dhl,
71,Refunded,198.95,USD,credit_card,dhl,
72,Returned,1185.99,GBP,apple_pay,fedex,
73,Returned,11.99,GBP,credit_card,economy,
74,Delivered,19.95,USD,apple_pay,express,
75,Refunded,881.99,USD,google_pay,dhl,Residential address
76,Delivered,1415.95,EUR,debit_card,ups,
77,Delivered,1490.99,EUR,apple_pay,dhl,
78,Refunded,51.95,GBP,klarna,pickup_point,
79,Returned,1071.99,EUR,google_pay,fedex,
80,Cancelled,80.99,EUR,apple_pay,economy,
81,Refunded,1216.99,USD,apple_pay,fedex,
82,Pending,1002.99,USD,debit_card,express,
83,Cancelled,1124.99,GBP,credit_card,fedex,
